end_of_quarter,end_of_quarter_release,ticker,industry,increase
2022-06-30,2022-08-16,FBP,Banks—Regional,-0.1098765804207611
2022-09-30,2022-11-15,FBP,Banks—Regional,-0.3027343569313715
2022-12-31,2023-03-07,FBP,Banks—Regional,0.01605841387530715
2023-03-31,2023-05-17,FBP,Banks—Regional,0.29783545658664035
2023-06-30,2023-08-15,FBP,Banks—Regional,0.13708019047863076
2023-09-30,2023-10-20,FBP,Banks—Regional,0.30634073201970585
2023-12-31,2024-03-06,FBP,Banks—Regional,-0.016110402348519143
2020-03-28,2020-05-11,TSN,Farm Products,0.008404287973049332
2020-06-27,2020-08-10,TSN,Farm Products,0.09110926291944917
2020-10-03,2020-11-23,TSN,Farm Products,0.2954058221330394
2021-01-02,2021-02-18,TSN,Farm Products,0.20873993914303732
2021-04-03,2021-05-17,TSN,Farm Products,0.0486486868220168
2021-07-03,2021-08-16,TSN,Farm Products,0.17164059882031424
2021-10-02,2021-11-22,TSN,Farm Products,0.03676676416153639
2022-01-01,2022-02-14,TSN,Farm Products,-0.13369575678657095
2022-04-02,2022-05-16,TSN,Farm Products,-0.2913316919364973
2022-07-02,2022-08-15,TSN,Farm Products,-0.2578915645958169
2022-10-01,2022-11-21,TSN,Farm Products,-0.25153559424011
2022-12-31,2023-02-13,TSN,Farm Products,-0.09383197985419296
2023-04-01,2023-05-15,TSN,Farm Products,-0.034970679190368115
2023-07-01,2023-08-17,TSN,Farm Products,-0.01811459463728292
2023-09-30,2023-11-20,TSN,Farm Products,0.22867175644942697
2023-12-30,2024-02-12,TSN,Farm Products,0.1318744130501993
2020-03-31,2020-05-15,WYNN,Resorts & Casinos,0.18648656450805526
2020-06-30,2020-08-13,WYNN,Resorts & Casinos,0.35975540514488985
2020-09-30,2020-11-16,WYNN,Resorts & Casinos,0.337027665454344
2020-12-31,2021-03-05,WYNN,Resorts & Casinos,-0.2476747859168664
2021-03-31,2021-05-17,WYNN,Resorts & Casinos,-0.2168684544515739
2021-06-30,2021-08-16,WYNN,Resorts & Casinos,0.027211643118886093
2021-09-30,2021-11-16,WYNN,Resorts & Casinos,-0.3215602330464474
2021-12-31,2022-03-07,WYNN,Resorts & Casinos,-0.1924517689831606
2022-03-31,2022-05-17,WYNN,Resorts & Casinos,0.16084337439379923
2022-06-30,2022-08-16,WYNN,Resorts & Casinos,0.5987618652611066
2022-09-30,2022-11-16,WYNN,Resorts & Casinos,0.37143223369622774
2022-12-31,2023-03-06,WYNN,Resorts & Casinos,-0.15589252708749057
2023-03-31,2023-05-16,WYNN,Resorts & Casinos,-0.1512858176186073
2023-06-30,2023-08-16,WYNN,Resorts & Casinos,0.11517778799214867
2023-09-30,2023-11-16,WYNN,Resorts & Casinos,0.23309325769304692
2023-12-31,2024-03-01,WYNN,Resorts & Casinos,0.04851302940939018
2020-02-01,2020-04-23,HIBB,Apparel Retail,2.5634126369240224
2020-05-02,2020-06-15,HIBB,Apparel Retail,1.117504856967554
2020-08-01,2020-09-11,HIBB,Apparel Retail,0.6547180161978221
2020-10-31,2020-12-14,HIBB,Apparel Retail,0.904544299475058
2021-01-30,2021-04-14,HIBB,Apparel Retail,0.08124500853313009
2021-05-01,2021-06-14,HIBB,Apparel Retail,-0.12026284237157121
2021-07-31,2021-09-14,HIBB,Apparel Retail,-0.42734394687458005
2021-10-30,2021-12-13,HIBB,Apparel Retail,-0.3310894626418039
2022-01-29,2022-04-01,HIBB,Apparel Retail,0.1736569977630449
2022-04-30,2022-06-13,HIBB,Apparel Retail,0.48163520236534574
2022-07-30,2022-09-13,HIBB,Apparel Retail,0.11309827104740244
2022-10-29,2022-12-08,HIBB,Apparel Retail,-0.4407051321239083
2023-01-28,2023-03-31,HIBB,Apparel Retail,-0.19447272481732236
2023-04-29,2023-06-13,HIBB,Apparel Retail,0.7058362174016091
2023-07-29,2023-09-12,HIBB,Apparel Retail,0.7070706672646179
2023-10-28,2023-12-12,HIBB,Apparel Retail,0.07548324863316436
2024-02-03,2024-04-01,HIBB,Apparel Retail,-0.06132835849409156
2020-03-31,2021-02-09,ATO,Utilities—Regulated Gas,0.14081845672905982
2020-06-30,2021-02-09,ATO,Utilities—Regulated Gas,0.14081845672905982
2020-09-30,2021-02-09,ATO,Utilities—Regulated Gas,0.14081845672905982
2020-12-31,2021-02-09,ATO,Utilities—Regulated Gas,0.14081845672905982
2021-03-31,2021-05-12,ATO,Utilities—Regulated Gas,-0.03290225215462982
2021-06-30,2021-08-11,ATO,Utilities—Regulated Gas,0.06183819166709634
2021-09-30,2022-02-15,ATO,Utilities—Regulated Gas,0.11536471767841512
2021-12-31,2022-02-15,ATO,Utilities—Regulated Gas,0.11536471767841512
2022-03-31,2022-05-11,ATO,Utilities—Regulated Gas,-0.007281119471017819
2022-06-30,2022-08-10,ATO,Utilities—Regulated Gas,0.0011356447281530855
2022-09-30,2023-02-14,ATO,Utilities—Regulated Gas,0.01459793116014974
2022-12-31,2023-02-14,ATO,Utilities—Regulated Gas,0.01459793116014974
2023-03-31,2023-05-10,ATO,Utilities—Regulated Gas,-0.06721982069547647
2023-06-30,2023-08-09,ATO,Utilities—Regulated Gas,-0.038730021465302196
2023-09-30,2023-11-21,ATO,Utilities—Regulated Gas,0.04059138746625822
2023-12-31,2024-02-13,ATO,Utilities—Regulated Gas,0.03919460629456795
2020-03-31,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2020-06-30,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2020-09-30,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2020-12-31,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2021-03-31,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2021-06-30,2021-08-13,DTM,Oil & Gas Midstream,0.25501779081190273
2021-09-30,2021-11-12,DTM,Oil & Gas Midstream,0.051724123256043024
2021-12-31,2022-03-04,DTM,Oil & Gas Midstream,-0.013047355358033709
2022-03-31,2022-05-12,DTM,Oil & Gas Midstream,0.14859438366267835
2022-06-30,2022-08-10,DTM,Oil & Gas Midstream,-0.053653387287578555
2022-09-30,2022-11-04,DTM,Oil & Gas Midstream,-0.2486798692125344
2022-12-31,2023-02-23,DTM,Oil & Gas Midstream,0.014430610298016537
2023-03-31,2023-05-09,DTM,Oil & Gas Midstream,0.16157950782017036
2023-06-30,2023-08-08,DTM,Oil & Gas Midstream,-0.01287391724923493
2023-09-30,2023-11-08,DTM,Oil & Gas Midstream,0.16538038042669093
2023-12-31,2024-02-23,DTM,Oil & Gas Midstream,0.11107211167679598
2020-03-31,2020-05-13,MAT,Leisure,0.6937500238418579
2020-06-30,2020-08-17,MAT,Leisure,0.6259807484173122
2020-09-30,2020-11-10,MAT,Leisure,0.5640658528145372
2020-12-31,2021-03-04,MAT,Leisure,0.0722831905056252
2021-03-31,2021-05-06,MAT,Leisure,-0.025123434288462296
2021-06-30,2021-08-16,MAT,Leisure,0.1573649831043468
2021-09-30,2021-11-11,MAT,Leisure,0.09643331670387298
2021-12-31,2022-03-07,MAT,Leisure,-0.03235687150467117
2022-03-31,2022-05-10,MAT,Leisure,-0.3152610643265975
2022-06-30,2022-08-16,MAT,Leisure,-0.21680672322783665
2022-09-30,2022-11-08,MAT,Leisure,0.04420209267458782
2022-12-31,2023-03-01,MAT,Leisure,0.2435465896134911
2023-03-31,2023-05-09,MAT,Leisure,0.04675469566563948
2023-06-30,2023-08-08,MAT,Leisure,-0.12225855351950765
2023-09-30,2023-11-16,MAT,Leisure,0.031729264215294976
2023-12-31,2024-03-22,MAT,Leisure,0.0036008072480030974
2020-02-29,2020-04-01,CMC,Steel,0.3076839536438043
2020-05-31,2020-07-02,CMC,Steel,0.041841081941783966
2020-08-31,2020-10-22,CMC,Steel,0.3753109849127284
2020-11-30,2021-01-18,CMC,Steel,0.43109975668877243
2021-02-28,2021-03-31,CMC,Steel,0.00977072285897972
2021-05-31,2021-07-01,CMC,Steel,0.17036400332335155
2021-08-31,2021-10-21,CMC,Steel,0.4622950756250464
2021-11-30,2022-01-17,CMC,Steel,-0.053890545560461064
2022-02-28,2022-03-30,CMC,Steel,-0.13103610364350343
2022-05-31,2022-06-29,CMC,Steel,0.41068313481726476
2022-08-31,2022-10-20,CMC,Steel,0.12086638582652473
2022-11-30,2023-01-16,CMC,Steel,-0.0018069836256843139
2023-02-28,2023-03-30,CMC,Steel,0.02489111772926679
2023-05-31,2023-06-29,CMC,Steel,-0.03475271590498614
2023-08-31,2023-10-19,CMC,Steel,0.3906514142835049
2023-11-30,2024-01-15,CMC,Steel,0.15393890887848585
2024-02-29,2024-04-02,CMC,Steel,-0.01576966028858963
2020-03-31,2020-05-18,CBU,Banks—Regional,0.19643489293134717
2020-06-30,2020-08-17,CBU,Banks—Regional,0.20036078684942324
2020-09-30,2020-11-16,CBU,Banks—Regional,0.237029507789121
2020-12-31,2021-03-08,CBU,Banks—Regional,-0.0770935540810757
2021-03-31,2021-05-17,CBU,Banks—Regional,-0.07674907476790546
2021-06-30,2021-08-16,CBU,Banks—Regional,-0.010841925585789058
2021-09-30,2021-11-16,CBU,Banks—Regional,-0.1405530998421246
2021-12-31,2022-03-08,CBU,Banks—Regional,-0.09359539703645552
2022-03-31,2022-05-17,CBU,Banks—Regional,0.0012454335587625486
2022-06-30,2022-08-16,CBU,Banks—Regional,-0.16174843175010764
2022-09-30,2022-11-16,CBU,Banks—Regional,-0.27631779377500226
2022-12-31,2023-03-08,CBU,Banks—Regional,-0.21463759201598093
2023-03-31,2023-05-17,CBU,Banks—Regional,-0.07210747042230431
2023-06-30,2023-08-16,CBU,Banks—Regional,-0.04648760184019729
2023-09-30,2023-11-16,CBU,Banks—Regional,0.01625472154790919
2023-12-31,2024-03-07,CBU,Banks—Regional,-0.03366504696164569
2020-03-31,2020-05-06,JOE,Real Estate—Diversified,0.6349392827377186
2020-06-30,2020-08-06,JOE,Real Estate—Diversified,1.5359120172808611
2020-09-30,2020-11-04,JOE,Real Estate—Diversified,0.6921733028133049
2020-12-31,2021-03-03,JOE,Real Estate—Diversified,-0.05262572236111008
2021-03-31,2021-05-05,JOE,Real Estate—Diversified,0.05667634818862935
2021-06-30,2021-08-04,JOE,Real Estate—Diversified,0.05812808716838954
2021-09-30,2021-11-03,JOE,Real Estate—Diversified,0.10656895698502142
2021-12-31,2022-03-02,JOE,Real Estate—Diversified,-0.336250700857963
2022-03-31,2022-05-04,JOE,Real Estate—Diversified,-0.3613889586582287
2022-06-30,2022-08-03,JOE,Real Estate—Diversified,0.17503085000789817
2022-09-30,2022-11-02,JOE,Real Estate—Diversified,0.1624394624723043
2022-12-31,2023-03-01,JOE,Real Estate—Diversified,0.4675541270817393
2023-03-31,2023-05-03,JOE,Real Estate—Diversified,0.18327664140472844
2023-06-30,2023-08-02,JOE,Real Estate—Diversified,-0.08683743219186593
2023-09-30,2023-11-01,JOE,Real Estate—Diversified,0.1910800430864843
2023-12-31,2024-02-28,JOE,Real Estate—Diversified,0.058613544217845516
2020-03-31,2020-05-18,IPAR,Household & Personal Products,0.36882497109775486
2020-06-30,2020-08-17,IPAR,Household & Personal Products,0.493734786486369
2020-09-30,2020-11-16,IPAR,Household & Personal Products,0.34175983585038733
2020-12-31,2021-03-08,IPAR,Household & Personal Products,0.02501434324363495
2021-03-31,2021-05-17,IPAR,Household & Personal Products,0.28017254827748433
2021-06-30,2021-08-16,IPAR,Household & Personal Products,0.31044244001862265
2021-09-30,2021-11-15,IPAR,Household & Personal Products,-0.21858272927833702
2021-12-31,2022-03-08,IPAR,Household & Personal Products,-0.02609666263532765
2022-03-31,2022-05-17,IPAR,Household & Personal Products,0.1940137487514928
2022-06-30,2022-08-16,IPAR,Household & Personal Products,0.3802321486348089
2022-09-30,2022-11-16,IPAR,Household & Personal Products,0.5377145035000797
2022-12-31,2023-03-07,IPAR,Household & Personal Products,-0.023238903552372497
2023-03-31,2023-05-15,IPAR,Household & Personal Products,-0.03649571324142054
2023-06-30,2023-08-15,IPAR,Household & Personal Products,0.08130981271547848
2023-09-30,2023-11-14,IPAR,Household & Personal Products,0.000457263589084239
2023-12-31,2024-03-05,IPAR,Household & Personal Products,-0.05322747889576766
2020-03-31,2020-05-15,WBS,Banks—Regional,0.7513581612983373
2020-06-30,2020-08-12,WBS,Banks—Regional,0.7414545561963208
2020-09-30,2020-11-11,WBS,Banks—Regional,0.5127494625827721
2020-12-31,2021-03-05,WBS,Banks—Regional,-0.1475158877415431
2021-03-31,2021-05-13,WBS,Banks—Regional,0.06925323864698608
2021-06-30,2021-08-11,WBS,Banks—Regional,0.211105769130459
2021-09-30,2021-11-10,WBS,Banks—Regional,-0.18530720316793364
2021-12-31,2022-03-04,WBS,Banks—Regional,-0.18123323058763996
2022-03-31,2022-05-20,WBS,Banks—Regional,0.14668699619785774
2022-06-30,2022-08-12,WBS,Banks—Regional,0.09843313873114798
2022-09-30,2022-11-11,WBS,Banks—Regional,-0.388753485603754
2022-12-31,2023-03-17,WBS,Banks—Regional,0.08891207013456284
2023-03-31,2023-05-15,WBS,Banks—Regional,0.2806597013074747
2023-06-30,2023-08-15,WBS,Banks—Regional,0.09855210767816071
2023-09-30,2023-11-14,WBS,Banks—Regional,0.12432689035625576
2023-12-31,2024-03-05,WBS,Banks—Regional,-0.022593132225106734
2021-12-31,2024-04-02,NATL,Software—Application,-0.010875147088586815
2022-03-31,2024-04-02,NATL,Software—Application,-0.010875147088586815
2022-06-30,2024-04-02,NATL,Software—Application,-0.010875147088586815
2022-09-30,2024-04-02,NATL,Software—Application,-0.010875147088586815
2022-12-31,2024-04-02,NATL,Software—Application,-0.010875147088586815
2023-03-31,2024-04-02,NATL,Software—Application,-0.010875147088586815
2023-06-30,2024-04-02,NATL,Software—Application,-0.010875147088586815
2023-09-30,2024-04-02,NATL,Software—Application,-0.010875147088586815
2023-12-31,2024-04-02,NATL,Software—Application,-0.010875147088586815
2020-03-28,2020-05-08,AAPL,Consumer Electronics,0.5362478953518829
2020-06-27,2020-08-07,AAPL,Consumer Electronics,0.2347903345124154
2020-09-26,2020-11-06,AAPL,Consumer Electronics,0.08089494656223126
2020-12-26,2021-02-04,AAPL,Consumer Electronics,0.07599446971809667
2021-03-27,2021-05-06,AAPL,Consumer Electronics,0.16800489336814078
2021-06-26,2021-08-04,AAPL,Consumer Electronics,0.17659066000104875
2021-09-25,2021-11-05,AAPL,Consumer Electronics,0.09743525655806178
2021-12-25,2022-02-04,AAPL,Consumer Electronics,-0.036312979459363195
2022-03-26,2022-05-06,AAPL,Consumer Electronics,-0.12016781563564091
2022-06-25,2022-08-05,AAPL,Consumer Electronics,-0.06561841973397384
2022-09-24,2022-11-04,AAPL,Consumer Electronics,0.21007364532215253
2022-12-31,2023-02-10,AAPL,Consumer Electronics,0.17998813935020655
2023-04-01,2023-05-12,AAPL,Consumer Electronics,0.08014131068721757
2023-07-01,2023-08-11,AAPL,Consumer Electronics,0.062208297626644135
2023-09-30,2023-11-10,AAPL,Consumer Electronics,-0.09431323577203826
2023-12-30,2024-02-09,AAPL,Consumer Electronics,-0.10606300308149155
2020-03-31,2020-05-06,ACA,Engineering & Construction,0.5290997061148438
2020-06-30,2020-08-07,ACA,Engineering & Construction,0.34741295972566333
2020-09-30,2020-11-05,ACA,Engineering & Construction,0.28888654000164743
2020-12-31,2021-03-04,ACA,Engineering & Construction,-0.11348637261544692
2021-03-31,2021-05-07,ACA,Engineering & Construction,-0.15200866309116126
2021-06-30,2021-08-12,ACA,Engineering & Construction,-0.13509365218692326
2021-09-30,2021-11-11,ACA,Engineering & Construction,-0.08996528906987208
2021-12-31,2022-03-03,ACA,Engineering & Construction,0.034495432442481364
2022-03-31,2022-05-06,ACA,Engineering & Construction,0.15782435882147988
2022-06-30,2022-08-11,ACA,Engineering & Construction,-0.09604523900406949
2022-09-30,2022-11-10,ACA,Engineering & Construction,0.18434304173004631
2022-12-31,2023-03-03,ACA,Engineering & Construction,0.2806304255141628
2023-03-31,2023-05-05,ACA,Engineering & Construction,0.006845338314843782
2023-06-30,2023-08-11,ACA,Engineering & Construction,0.06462714967559754
2023-09-30,2023-11-09,ACA,Engineering & Construction,0.20768325144704702
2023-12-31,2024-03-01,ACA,Engineering & Construction,-0.016776440355686133
2020-03-31,2020-04-29,SLM,Credit Services,0.09518859256266753
2020-06-30,2020-07-29,SLM,Credit Services,1.014560884823963
2020-09-30,2020-10-28,SLM,Credit Services,1.06653756016871
2020-12-31,2021-04-28,SLM,Credit Services,-0.08491074909679819
2021-03-31,2021-04-28,SLM,Credit Services,-0.08491074909679819
2021-06-30,2021-07-28,SLM,Credit Services,-0.07203383281017627
2021-09-30,2021-10-27,SLM,Credit Services,-0.0523322002438325
2021-12-31,2022-05-04,SLM,Credit Services,-0.11460054916929448
2022-03-31,2022-05-04,SLM,Credit Services,-0.11460054916929448
2022-06-30,2022-08-03,SLM,Credit Services,-0.04700576656717463
2022-09-30,2022-11-02,SLM,Credit Services,-0.08128077053127529
2022-12-31,2023-03-02,SLM,Credit Services,0.044967887519527856
2023-03-31,2023-05-03,SLM,Credit Services,0.02879766800888256
2023-06-30,2023-08-02,SLM,Credit Services,0.23510773770136323
2023-09-30,2023-11-01,SLM,Credit Services,0.5657992390033373
2023-12-31,2024-02-29,SLM,Credit Services,0.011041744746939338
2020-03-31,2020-05-04,AWI,Building Products & Equipment,-0.16161668068028223
2020-06-30,2020-08-04,AWI,Building Products & Equipment,0.1309630206965051
2020-09-30,2020-11-03,AWI,Building Products & Equipment,0.6898448286235195
2020-12-31,2021-03-02,AWI,Building Products & Equipment,0.23504030174470844
2021-03-31,2021-05-04,AWI,Building Products & Equipment,0.03104185983839392
2021-06-30,2021-08-03,AWI,Building Products & Equipment,-0.09214387650854466
2021-09-30,2021-11-02,AWI,Building Products & Equipment,-0.21299737513448802
2021-12-31,2022-03-01,AWI,Building Products & Equipment,-0.03236210369099962
2022-03-31,2022-05-03,AWI,Building Products & Equipment,-0.15222400634124195
2022-06-30,2022-08-02,AWI,Building Products & Equipment,-0.09313393407826397
2022-09-30,2022-11-01,AWI,Building Products & Equipment,-0.08769596448023256
2022-12-31,2023-02-28,AWI,Building Products & Equipment,-0.0659479651093316
2023-03-31,2023-05-02,AWI,Building Products & Equipment,0.14574057725011383
2023-06-30,2023-08-01,AWI,Building Products & Equipment,0.2867704416073739
2023-09-30,2023-10-31,AWI,Building Products & Equipment,0.586506819003898
2023-12-31,2024-02-27,AWI,Building Products & Equipment,-0.02280657072862421
2020-03-31,2020-06-17,CRVL,Insurance Brokers,0.3807804518145281
2020-06-30,2020-08-13,CRVL,Insurance Brokers,0.22994327058680158
2020-09-30,2020-11-12,CRVL,Insurance Brokers,0.31106629258133817
2020-12-31,2021-02-11,CRVL,Insurance Brokers,0.4703064919204055
2021-03-31,2021-06-04,CRVL,Insurance Brokers,0.5981858111970242
2021-06-30,2021-08-12,CRVL,Insurance Brokers,0.044754527724719155
2021-09-30,2021-11-11,CRVL,Insurance Brokers,-0.23650501921386602
2021-12-31,2022-02-10,CRVL,Insurance Brokers,-0.007393820325643607
2022-03-31,2022-06-03,CRVL,Insurance Brokers,0.0517300992298914
2022-06-30,2022-08-11,CRVL,Insurance Brokers,0.12510947030926586
2022-09-30,2022-11-10,CRVL,Insurance Brokers,0.3520862416230415
2022-12-31,2023-02-09,CRVL,Insurance Brokers,0.190052500523032
2023-03-31,2023-06-02,CRVL,Insurance Brokers,0.05642760185266221
2023-06-30,2023-08-10,CRVL,Insurance Brokers,0.10352744683846958
2023-09-30,2023-11-09,CRVL,Insurance Brokers,0.24482215640527116
2023-12-31,2024-02-08,CRVL,Insurance Brokers,0.018274151720118374
2020-03-31,2020-05-15,ES,Utilities—Regulated Electric,0.23836465746302196
2020-06-30,2020-08-17,ES,Utilities—Regulated Electric,-0.027767048309744344
2020-09-30,2020-11-13,ES,Utilities—Regulated Electric,-0.10103308766091572
2020-12-31,2021-02-24,ES,Utilities—Regulated Electric,0.15425640436172253
2021-03-31,2021-05-17,ES,Utilities—Regulated Electric,0.005908232406167159
2021-06-30,2021-08-13,ES,Utilities—Regulated Electric,-0.05714057414767534
2021-09-30,2021-11-12,ES,Utilities—Regulated Electric,0.10560141883742091
2021-12-31,2022-02-24,ES,Utilities—Regulated Electric,0.16022351380682504
2022-03-31,2022-05-13,ES,Utilities—Regulated Electric,-0.12592344371105244
2022-06-30,2022-08-11,ES,Utilities—Regulated Electric,-0.12596878985527885
2022-09-30,2022-11-11,ES,Utilities—Regulated Electric,-0.014214278819455436
2022-12-31,2023-02-22,ES,Utilities—Regulated Electric,-0.18589827584244595
2023-03-31,2023-05-12,ES,Utilities—Regulated Electric,-0.3020238977811607
2023-06-30,2023-08-11,ES,Utilities—Regulated Electric,-0.1798926194599404
2023-09-30,2023-11-14,ES,Utilities—Regulated Electric,0.04783920769354501
2023-12-31,2024-02-21,ES,Utilities—Regulated Electric,0.008558713037854701
2020-02-29,2020-04-15,RPM,Specialty Chemicals,0.3880499358885864
2020-05-31,2020-08-03,RPM,Specialty Chemicals,0.043308199273383335
2020-08-31,2020-10-14,RPM,Specialty Chemicals,0.035527504304618866
2020-11-30,2021-01-14,RPM,Specialty Chemicals,0.032451057537187404
2021-02-28,2021-04-14,RPM,Specialty Chemicals,-0.11277023774596276
2021-05-31,2021-08-02,RPM,Specialty Chemicals,0.04208825767136786
2021-08-31,2021-10-13,RPM,Specialty Chemicals,0.08137327589574335
2021-11-30,2022-01-12,RPM,Specialty Chemicals,-0.13173971522254985
2022-02-28,2022-04-13,RPM,Specialty Chemicals,0.05204849459677748
2022-05-31,2022-08-01,RPM,Specialty Chemicals,-0.004980045874309526
2022-08-31,2022-10-12,RPM,Specialty Chemicals,-0.09938574839871435
2022-11-30,2023-01-12,RPM,Specialty Chemicals,0.04303530260542462
2023-02-28,2023-04-13,RPM,Specialty Chemicals,0.190645280322103
2023-05-31,2023-08-02,RPM,Specialty Chemicals,0.04101524693445532
2023-08-31,2023-10-11,RPM,Specialty Chemicals,0.12127298220093899
2023-11-30,2024-01-11,RPM,Specialty Chemicals,0.05021160360979768
2020-03-31,2020-05-13,ASH,Specialty Chemicals,0.3453529363400091
2020-06-30,2020-08-06,ASH,Specialty Chemicals,0.0887809948014968
2020-09-30,2020-11-30,ASH,Specialty Chemicals,0.26969574007227665
2020-12-31,2021-02-11,ASH,Specialty Chemicals,-0.0021730514079689772
2021-03-31,2021-05-06,ASH,Specialty Chemicals,0.11774914098213378
2021-06-30,2021-08-05,ASH,Specialty Chemicals,0.15020801834484337
2021-09-30,2021-11-29,ASH,Specialty Chemicals,0.05976601892307195
2021-12-31,2022-05-05,ASH,Specialty Chemicals,-0.0441655559652796
2022-03-31,2022-05-05,ASH,Specialty Chemicals,-0.0441655559652796
2022-06-30,2022-08-04,ASH,Specialty Chemicals,0.031338722251635975
2022-09-30,2022-11-28,ASH,Specialty Chemicals,-0.21361588922862282
2022-12-31,2023-08-03,ASH,Specialty Chemicals,0.017672516575722226
2023-03-31,2023-08-03,ASH,Specialty Chemicals,0.017672516575722226
2023-06-30,2023-08-03,ASH,Specialty Chemicals,0.017672516575722226
2023-09-30,2023-11-24,ASH,Specialty Chemicals,0.2027248691227216
2020-03-31,2020-05-06,NVT,Electrical Equipment & Parts,0.15069552233103226
2020-06-30,2020-08-07,NVT,Electrical Equipment & Parts,0.2881904478905057
2020-09-30,2020-11-06,NVT,Electrical Equipment & Parts,0.7000840644768097
2020-12-31,2021-03-02,NVT,Electrical Equipment & Parts,0.2684610436675522
2021-03-31,2021-05-06,NVT,Electrical Equipment & Parts,0.18749607726182252
2021-06-30,2021-08-10,NVT,Electrical Equipment & Parts,0.08894510977905144
2021-09-30,2021-11-04,NVT,Electrical Equipment & Parts,-0.051171203760435775
2021-12-31,2022-03-04,NVT,Electrical Equipment & Parts,-0.029411814704536056
2022-03-31,2022-05-06,NVT,Electrical Equipment & Parts,0.11240194300268413
2022-06-30,2022-08-05,NVT,Electrical Equipment & Parts,0.15994233760905555
2022-09-30,2022-11-04,NVT,Electrical Equipment & Parts,0.1080939809952376
2022-12-31,2023-03-07,NVT,Electrical Equipment & Parts,0.21228562717780133
2023-03-31,2023-05-05,NVT,Electrical Equipment & Parts,0.19549591565114294
2023-06-30,2023-08-04,NVT,Electrical Equipment & Parts,0.16685061797252912
2023-09-30,2023-11-03,NVT,Electrical Equipment & Parts,0.5140280709726316
2023-12-31,2024-02-27,NVT,Electrical Equipment & Parts,0.14054959976199605
2020-03-31,2020-05-07,SFBS,Banks—Regional,0.13564289155791598
2020-06-30,2020-08-07,SFBS,Banks—Regional,0.16599887581411832
2020-09-30,2020-11-04,SFBS,Banks—Regional,0.8305732341918083
2020-12-31,2021-03-05,SFBS,Banks—Regional,0.3512219588716494
2021-03-31,2021-05-06,SFBS,Banks—Regional,0.28681690015153777
2021-06-30,2021-08-04,SFBS,Banks—Regional,0.1770995163292018
2021-09-30,2021-11-05,SFBS,Banks—Regional,-0.0277356639218272
2021-12-31,2022-03-04,SFBS,Banks—Regional,-0.03781557871307375
2022-03-31,2022-05-05,SFBS,Banks—Regional,-0.10041738763946287
2022-06-30,2022-08-05,SFBS,Banks—Regional,-0.16923431423999505
2022-09-30,2022-11-07,SFBS,Banks—Regional,-0.35754788820495154
2022-12-31,2023-03-07,SFBS,Banks—Regional,-0.2343390505196374
2023-03-31,2023-05-09,SFBS,Banks—Regional,0.08171379997101909
2023-06-30,2023-08-10,SFBS,Banks—Regional,0.04965608210308654
2023-09-30,2023-11-10,SFBS,Banks—Regional,0.3296493599943246
2023-12-31,2024-03-08,SFBS,Banks—Regional,-0.04415577860510182
2020-02-29,2020-04-02,FUL,Specialty Chemicals,0.6958866183372525
2020-05-30,2020-07-02,FUL,Specialty Chemicals,0.18571599601518823
2020-08-29,2020-10-01,FUL,Specialty Chemicals,0.4127045421383763
2020-11-28,2021-02-02,FUL,Specialty Chemicals,0.24111756164084983
2021-02-27,2021-04-01,FUL,Specialty Chemicals,0.026024620217488966
2021-05-29,2021-07-06,FUL,Specialty Chemicals,0.22617065468627473
2021-08-28,2021-09-30,FUL,Specialty Chemicals,0.07432023874947043
2021-11-27,2022-02-01,FUL,Specialty Chemicals,-0.10468787471706369
2022-02-26,2022-03-31,FUL,Specialty Chemicals,-0.08475856667152044
2022-05-28,2022-06-30,FUL,Specialty Chemicals,0.2022919862212195
2022-08-27,2022-09-29,FUL,Specialty Chemicals,0.12138244070975195
2022-12-03,2023-01-31,FUL,Specialty Chemicals,0.0565847141599247
2023-03-04,2023-04-06,FUL,Specialty Chemicals,0.09297970711932028
2023-06-03,2023-07-06,FUL,Specialty Chemicals,0.1518650459886729
2023-09-02,2023-10-05,FUL,Specialty Chemicals,0.10833577264882656
2023-12-02,2024-01-31,FUL,Specialty Chemicals,0.02481199638517519
2024-03-02,2024-04-04,FUL,Specialty Chemicals,0.0
2020-03-31,2020-05-28,USPH,Medical Care Facilities,0.41811936623507523
2020-06-30,2020-08-14,USPH,Medical Care Facilities,0.5543733841912725
2020-09-30,2020-11-13,USPH,Medical Care Facilities,0.0484910979381425
2020-12-31,2021-03-08,USPH,Medical Care Facilities,0.021362562980902257
2021-03-31,2021-05-17,USPH,Medical Care Facilities,-0.15091736966843708
2021-06-30,2021-08-16,USPH,Medical Care Facilities,-0.0812199677511106
2021-09-30,2021-11-16,USPH,Medical Care Facilities,0.06188927079870148
2021-12-31,2022-03-08,USPH,Medical Care Facilities,-0.17351310538134293
2022-03-31,2022-05-16,USPH,Medical Care Facilities,-0.1720093679301621
2022-06-30,2022-08-15,USPH,Medical Care Facilities,0.10784964070421837
2022-09-30,2022-11-15,USPH,Medical Care Facilities,0.30807363194115495
