end_of_quarter,end_of_quarter_release,ticker,industry,increase
2021-10-29,2021-12-13,SAIC,Information Technology Services,0.08804295266266202
2022-01-28,2022-06-13,SAIC,Information Technology Services,0.24610451672952016
2022-04-29,2022-06-13,SAIC,Information Technology Services,0.24610451672952016
2022-07-29,2022-09-08,SAIC,Information Technology Services,0.16752158756091556
2022-10-28,2022-12-12,SAIC,Information Technology Services,-0.0399408383324644
2023-02-03,2023-06-12,SAIC,Information Technology Services,0.2005532564961378
2023-05-05,2023-06-12,SAIC,Information Technology Services,0.2005532564961378
2023-08-04,2023-09-14,SAIC,Information Technology Services,0.29830119583403947
2023-11-03,2023-12-11,SAIC,Information Technology Services,0.013781906106112397
2020-03-31,2020-05-13,TNC,Specialty Industrial Machinery,0.23932617589453525
2020-06-30,2020-08-06,TNC,Specialty Industrial Machinery,0.1034845019879538
2020-09-30,2020-11-05,TNC,Specialty Industrial Machinery,0.3440022217522982
2020-12-31,2021-03-04,TNC,Specialty Industrial Machinery,-0.002244556357104633
2021-03-31,2021-05-11,TNC,Specialty Industrial Machinery,0.015413328815714462
2021-06-30,2021-08-10,TNC,Specialty Industrial Machinery,0.03444437273793893
2021-09-30,2021-11-09,TNC,Specialty Industrial Machinery,-0.2727203897905284
2021-12-31,2022-03-03,TNC,Specialty Industrial Machinery,-0.2358161565791785
2022-03-31,2022-05-05,TNC,Specialty Industrial Machinery,0.006600981090186841
2022-06-30,2022-08-16,TNC,Specialty Industrial Machinery,-0.019315859856347355
2022-09-30,2022-11-03,TNC,Specialty Industrial Machinery,0.33586744843193106
2022-12-31,2023-03-02,TNC,Specialty Industrial Machinery,0.1667396418120224
2023-03-31,2023-05-05,TNC,Specialty Industrial Machinery,0.05845661653266076
2023-06-30,2023-08-11,TNC,Specialty Industrial Machinery,0.15304554915084037
2023-09-30,2023-11-07,TNC,Specialty Industrial Machinery,0.4566688262985483
2023-12-31,2024-02-29,TNC,Specialty Industrial Machinery,0.06899900512535691
2020-03-31,2020-05-07,NOW,Software - Application,0.40161855144002007
2020-06-30,2020-08-06,NOW,Software - Application,0.37041340104175197
2020-09-30,2020-11-05,NOW,Software - Application,-0.08996766543522945
2020-12-31,2021-02-19,NOW,Software - Application,0.019659089450787308
2021-03-31,2021-05-06,NOW,Software - Application,0.4243578441087173
2021-06-30,2021-08-05,NOW,Software - Application,-0.03019308223131822
2021-09-30,2021-11-04,NOW,Software - Application,-0.31332563982846523
2021-12-31,2022-02-10,NOW,Software - Application,-0.20148744568090252
2022-03-31,2022-05-05,NOW,Software - Application,-0.22922035593329998
2022-06-30,2022-08-04,NOW,Software - Application,-0.04215009894380705
2022-09-30,2022-11-03,NOW,Software - Application,0.150741766483062
2022-12-31,2023-02-07,NOW,Software - Application,0.1907567958691192
2023-03-31,2023-05-04,NOW,Software - Application,0.4093981463890995
2023-06-30,2023-08-03,NOW,Software - Application,0.3941826441029738
2023-09-30,2023-11-02,NOW,Software - Application,0.2637839231423163
