end_of_quarter,ticker,industry,sector,fte,auditrisk,compensationrisk,boardrisk,shareholderrightsrisk,maxage,dividends,weekly_price_0,weekly_price_1,weekly_price_2,weekly_price_3,weekly_price_4,weekly_price_5,weekly_price_6,weekly_price_7,weekly_price_8,weekly_price_9,increase
2022-09-30,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.28,53.57915687561035,56.12236213684082,54.029239654541016,55.90699920654297,58.72120208740235,59.46715621948242,60.24897689819336,62.11018371582031,58.84092025756836,55.28771057128906,0.19380869064698938
2022-12-31,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.3,47.239994049072266,49.548509979248045,47.82733001708984,49.210107421875,50.84691162109375,53.48673782348633,56.18229751586914,58.89546432495117,60.320024490356445,59.04608840942383,0.15816634676666222
2023-03-31,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.3,58.78200721740723,60.14348373413086,57.97754669189453,58.803524017333984,66.18632354736329,65.31739196777343,66.54608612060547,64.34672451019287,65.56116638183593,65.62801208496094,0.05138271420913165
2023-06-30,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.3,67.35702896118164,64.84803009033203,64.97729034423828,67.1437255859375,67.3228042602539,68.9067153930664,68.0260025024414,67.38620147705078,66.03946990966797,65.07088565826416,-0.08765660093138257
2023-09-30,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.3,71.85887145996094,70.26431465148926,72.34859924316406,75.13685302734375,73.42384185791016,71.9246337890625,72.01782531738282,69.60282135009766,68.76411590576171,71.56575775146484,0.2540633568854118
2023-12-31,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.32,65.63333892822266,69.23204498291015,68.5777359008789,66.45221405029297,70.31732788085938,71.13411560058594,74.98894653320312,75.66977119445801,75.35948944091797,77.03290557861328,0.10797684005775032
2022-03-31,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.47,130.63038635253906,127.3158935546875,121.13032341003418,118.04885864257812,124.12896270751953,123.34319458007812,117.05894165039062,114.56536293029785,115.8494659423828,112.54652557373046,-0.07456193197351042
2022-06-30,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.47,114.69454956054688,116.50234680175781,114.72311973571777,116.3866195678711,113.1555892944336,109.48756866455078,103.9942413330078,108.79727783203126,110.90102691650391,112.78144454956055,-0.0913310677575848
2022-09-30,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.47,105.80118179321289,105.55948638916016,104.19795532226563,105.86262512207031,106.19473419189453,106.18696594238281,106.65503234863282,107.69410247802735,102.29288940429687,99.83408660888672,0.14541625053792254
2022-12-31,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.47,93.9628677368164,99.09410858154297,98.52692565917968,96.95858306884766,95.82680053710938,95.77411041259765,98.91773376464843,100.53150177001953,102.86774826049805,104.20003051757813,-0.0917264793222639
2023-03-31,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.51,108.28030204772949,110.25860748291015,110.1426944732666,109.48799438476563,109.02930755615235,107.64737548828126,105.04229125976562,100.30012130737305,99.85172576904297,97.40933990478516,0.06851704935071325
2023-06-30,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.51,98.17577743530273,101.32431983947754,101.56832733154297,106.96396331787109,108.16958923339844,109.62737731933593,108.81771697998047,107.45251770019532,103.03779449462891,101.14119720458984,-0.1073703276836383
2023-09-30,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.51,107.38356018066406,105.42836570739746,105.99952545166016,108.34394073486328,112.2354965209961,108.0114013671875,104.78691101074219,103.7635482788086,103.34786834716797,102.30075225830078,0.15616123844089114
2023-12-31,ABT,Medical Devices,healthcare,114000.0,8.0,9.0,8.0,2.0,86400,0.51,95.06198577880859,92.83954315185547,93.96605377197265,93.74512329101563,94.41588287353515,93.95809478759766,97.66419219970703,101.67879676818848,103.0163330078125,104.10507507324219,0.020015512557858044
2022-03-31,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.41,123.9960922241211,125.14620513916016,124.29948616027832,124.6920669555664,128.49187622070312,132.20836181640624,133.81385192871093,135.90309143066406,138.14141845703125,137.70994567871094,-0.04108291537874641
2022-06-30,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.41,150.7765909830729,156.00536193847657,153.03197860717773,146.7705535888672,144.41188049316406,140.82255859375,142.45289001464843,142.94029541015624,140.00086669921876,137.10017013549805,-0.059447795675629654
2022-09-30,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.41,143.31194305419922,142.7026596069336,142.81594543457032,140.0946044921875,140.52436218261718,131.71591491699218,133.1183288574219,133.72340393066406,130.61885986328124,128.26266021728514,0.22356092500331737
2022-12-31,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.41,126.49078369140625,132.45481872558594,133.5629455566406,137.50426330566407,143.63562622070313,138.53250427246093,141.69339294433593,145.43695068359375,151.35837173461914,152.92214660644532,-0.018221482981866263
2023-03-31,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.48,156.1663475036621,149.89401550292968,144.24799728393555,141.8062530517578,140.331884765625,141.38529052734376,145.74879150390626,145.95880889892578,148.76095581054688,145.1048370361328,-0.15633038164599097
2023-06-30,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.48,152.47763061523438,154.39265823364258,156.14108276367188,156.38380432128906,153.40406494140626,145.48914184570313,142.47642517089844,140.02047119140624,136.71676635742188,132.0876007080078,0.11862613008917414
2023-09-30,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.48,130.68357849121094,132.25006866455078,131.4554473876953,136.32394409179688,142.48090515136718,145.98599853515626,147.9592041015625,148.3044219970703,144.9111297607422,144.85228576660157,0.05579201268965824
2023-12-31,ABBV,Drug Manufacturers - General,healthcare,50000.0,7.0,6.0,5.0,9.0,86400,1.48,144.96212768554688,146.43426818847655,146.0921875,142.72238159179688,140.6997039794922,139.07522888183593,136.86831970214843,137.23381805419922,138.96627197265624,145.08382263183594,0.12123571266985445
